nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
SocialBehavioralAutism_4_87,SB,MixedASDwithDelay_1_2,MX,0.9934
SocialBehavioralAutism_4_87,SB,MixedASDwithDelay_3_23,MX,0.9819
SocialBehavioralAutism_4_87,SB,MixedASDwithDelay_5_121,MX,0.9929
SocialBehavioralAutism_4_87,SB,MixedASDwithDelay_5_149,MX,0.9873
SocialBehavioralAutism_4_87,SB,MixedASDwithDelay_5_179,MX,0.616
SocialBehavioralAutism_4_90,SB,MixedASDwithDelay_6_263,MX,0.9922
SocialBehavioralAutism_4_91,SB,MixedASDwithDelay_5_180,MX,0.9949
SocialBehavioralAutism_4_93,SB,MixedASDwithDelay_5_140,MX,0.9574
SocialBehavioralAutism_4_96,SB,MixedASDwithDelay_5_110,MX,0.9146
SocialBehavioralAutism_4_99,SB,MixedASDwithDelay_3_24,MX,0.9954
SocialBehavioralAutism_4_106,SB,MixedASDwithDelay_3_29,MX,0.9917
SocialBehavioralAutism_4_106,SB,MixedASDwithDelay_5_179,MX,0.6471
SocialBehavioralAutism_4_112,SB,MixedASDwithDelay_6_280,MX,0.6916
SocialBehavioralAutism_4_113,SB,MixedASDwithDelay_4_91,MX,0.9929
SocialBehavioralAutism_4_113,SB,MixedASDwithDelay_6_235,MX,0.9762
SocialBehavioralAutism_4_115,SB,MixedASDwithDelay_4_78,MX,0.9781
SocialBehavioralAutism_4_115,SB,MixedASDwithDelay_5_171,MX,0.5951
SocialBehavioralAutism_4_115,SB,MixedASDwithDelay_6_221,MX,0.5792
SocialBehavioralAutism_4_117,SB,MixedASDwithDelay_5_179,MX,0.5507
SocialBehavioralAutism_4_126,SB,MixedASDwithDelay_5_120,MX,0.8292
SocialBehavioralAutism_4_126,SB,MixedASDwithDelay_5_166,MX,0.9581
SocialBehavioralAutism_4_126,SB,MixedASDwithDelay_5_169,MX,0.977
SocialBehavioralAutism_4_126,SB,MixedASDwithDelay_5_171,MX,0.8989
SocialBehavioralAutism_4_126,SB,MixedASDwithDelay_6_227,MX,0.9765
SocialBehavioralAutism_4_129,SB,MixedASDwithDelay_6_196,MX,0.9949
SocialBehavioralAutism_4_134,SB,MixedASDwithDelay_3_35,MX,0.8692
SocialBehavioralAutism_4_135,SB,MixedASDwithDelay_2_16,MX,0.9504
SocialBehavioralAutism_4_135,SB,MixedASDwithDelay_5_164,MX,0.9814
SocialBehavioralAutism_4_137,SB,MixedASDwithDelay_4_100,MX,0.9791
SocialBehavioralAutism_4_137,SB,MixedASDwithDelay_5_115,MX,0.9883
SocialBehavioralAutism_4_138,SB,MixedASDwithDelay_3_34,MX,0.9905
SocialBehavioralAutism_4_138,SB,MixedASDwithDelay_5_110,MX,0.9683
SocialBehavioralAutism_4_140,SB,MixedASDwithDelay_4_73,MX,0.9655
SocialBehavioralAutism_4_140,SB,MixedASDwithDelay_5_153,MX,0.9854
SocialBehavioralAutism_4_140,SB,MixedASDwithDelay_6_182,MX,0.5898
SocialBehavioralAutism_4_142,SB,MixedASDwithDelay_4_65,MX,0.8003
SocialBehavioralAutism_4_142,SB,MixedASDwithDelay_5_107,MX,0.9943
SocialBehavioralAutism_4_142,SB,MixedASDwithDelay_5_120,MX,0.9911
SocialBehavioralAutism_4_142,SB,MixedASDwithDelay_6_181,MX,0.8276
SocialBehavioralAutism_4_142,SB,MixedASDwithDelay_6_227,MX,0.7504
SocialBehavioralAutism_4_143,SB,MixedASDwithDelay_5_121,MX,0.5844
SocialBehavioralAutism_5_144,SB,MixedASDwithDelay_3_34,MX,0.9692
SocialBehavioralAutism_5_150,SB,MixedASDwithDelay_5_180,MX,0.6831
SocialBehavioralAutism_5_160,SB,MixedASDwithDelay_4_88,MX,0.955
SocialBehavioralAutism_5_160,SB,MixedASDwithDelay_5_174,MX,0.9342
SocialBehavioralAutism_5_160,SB,MixedASDwithDelay_6_222,MX,0.7912
SocialBehavioralAutism_5_161,SB,MixedASDwithDelay_2_13,MX,0.8901
SocialBehavioralAutism_5_161,SB,MixedASDwithDelay_5_138,MX,0.5843
SocialBehavioralAutism_5_161,SB,MixedASDwithDelay_6_231,MX,0.9164
SocialBehavioralAutism_5_164,SB,MixedASDwithDelay_4_71,MX,0.9975
SocialBehavioralAutism_5_165,SB,MixedASDwithDelay_2_16,MX,0.9934
SocialBehavioralAutism_5_165,SB,MixedASDwithDelay_5_164,MX,0.9973
SocialBehavioralAutism_5_165,SB,MixedASDwithDelay_6_221,MX,0.9874
SocialBehavioralAutism_5_166,SB,MixedASDwithDelay_6_195,MX,0.6677
SocialBehavioralAutism_5_166,SB,MixedASDwithDelay_6_240,MX,0.5798
SocialBehavioralAutism_5_168,SB,MixedASDwithDelay_4_73,MX,0.986
SocialBehavioralAutism_5_176,SB,MixedASDwithDelay_3_23,MX,0.9623
SocialBehavioralAutism_5_176,SB,MixedASDwithDelay_4_68,MX,0.9859
SocialBehavioralAutism_5_176,SB,MixedASDwithDelay_5_121,MX,0.943
SocialBehavioralAutism_5_180,SB,MixedASDwithDelay_6_231,MX,0.8201
SocialBehavioralAutism_5_184,SB,MixedASDwithDelay_5_180,MX,0.9616
SocialBehavioralAutism_5_192,SB,MixedASDwithDelay_5_149,MX,0.9799
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_5_122,MX,0.7423
SocialBehavioralAutism_5_193,SB,MixedASDwithDelay_6_239,MX,0.9411
SocialBehavioralAutism_5_196,SB,MixedASDwithDelay_1_4,MX,0.9909
SocialBehavioralAutism_5_196,SB,MixedASDwithDelay_2_11,MX,0.9845
SocialBehavioralAutism_5_196,SB,MixedASDwithDelay_4_88,MX,0.9978
SocialBehavioralAutism_5_196,SB,MixedASDwithDelay_5_174,MX,0.9844
SocialBehavioralAutism_5_196,SB,MixedASDwithDelay_6_222,MX,0.8853
SocialBehavioralAutism_5_196,SB,MixedASDwithDelay_6_226,MX,0.9976
SocialBehavioralAutism_5_196,SB,MixedASDwithDelay_6_244,MX,0.9081
SocialBehavioralAutism_5_197,SB,MixedASDwithDelay_6_202,MX,0.9956
SocialBehavioralAutism_5_199,SB,MixedASDwithDelay_6_223,MX,0.969
SocialBehavioralAutism_5_200,SB,MixedASDwithDelay_5_179,MX,0.892
SocialBehavioralAutism_5_205,SB,MixedASDwithDelay_4_98,MX,0.9828
SocialBehavioralAutism_5_205,SB,MixedASDwithDelay_5_108,MX,0.9848
SocialBehavioralAutism_5_205,SB,MixedASDwithDelay_5_160,MX,0.8332
SocialBehavioralAutism_5_206,SB,MixedASDwithDelay_2_16,MX,0.9751
SocialBehavioralAutism_5_206,SB,MixedASDwithDelay_4_78,MX,0.5656
SocialBehavioralAutism_5_208,SB,MixedASDwithDelay_3_51,MX,0.6952
SocialBehavioralAutism_5_208,SB,MixedASDwithDelay_5_114,MX,0.6272
SocialBehavioralAutism_5_208,SB,MixedASDwithDelay_6_203,MX,0.779
SocialBehavioralAutism_5_208,SB,MixedASDwithDelay_6_212,MX,0.9628
SocialBehavioralAutism_5_209,SB,MixedASDwithDelay_6_275,MX,0.9738
SocialBehavioralAutism_5_212,SB,MixedASDwithDelay_3_34,MX,0.9519
SocialBehavioralAutism_5_212,SB,MixedASDwithDelay_4_59,MX,0.5536
SocialBehavioralAutism_5_212,SB,MixedASDwithDelay_5_129,MX,0.9883
SocialBehavioralAutism_5_217,SB,MixedASDwithDelay_6_199,MX,0.9936
SocialBehavioralAutism_5_217,SB,MixedASDwithDelay_6_260,MX,0.9957
SocialBehavioralAutism_5_218,SB,MixedASDwithDelay_5_171,MX,0.956
SocialBehavioralAutism_5_218,SB,MixedASDwithDelay_6_181,MX,0.8993
SocialBehavioralAutism_5_219,SB,MixedASDwithDelay_4_73,MX,0.9962
SocialBehavioralAutism_5_224,SB,MixedASDwithDelay_2_16,MX,0.974
SocialBehavioralAutism_5_224,SB,MixedASDwithDelay_4_78,MX,0.6869
SocialBehavioralAutism_5_227,SB,MixedASDwithDelay_4_83,MX,0.9897
SocialBehavioralAutism_5_230,SB,MixedASDwithDelay_3_27,MX,0.9921
SocialBehavioralAutism_5_231,SB,MixedASDwithDelay_1_4,MX,0.9269
SocialBehavioralAutism_5_231,SB,MixedASDwithDelay_2_11,MX,0.7372
SocialBehavioralAutism_5_231,SB,MixedASDwithDelay_5_108,MX,0.9762
SocialBehavioralAutism_5_231,SB,MixedASDwithDelay_5_174,MX,0.8073
SocialBehavioralAutism_5_231,SB,MixedASDwithDelay_6_244,MX,0.9789
SocialBehavioralAutism_5_233,SB,MixedASDwithDelay_3_20,MX,0.991
SocialBehavioralAutism_5_233,SB,MixedASDwithDelay_4_59,MX,0.992
SocialBehavioralAutism_5_235,SB,MixedASDwithDelay_3_21,MX,0.9937
SocialBehavioralAutism_5_236,SB,MixedASDwithDelay_5_115,MX,0.9982
SocialBehavioralAutism_5_236,SB,MixedASDwithDelay_5_149,MX,0.9817
SocialBehavioralAutism_5_236,SB,MixedASDwithDelay_5_166,MX,0.9892
SocialBehavioralAutism_5_236,SB,MixedASDwithDelay_6_227,MX,0.9942
SocialBehavioralAutism_5_236,SB,MixedASDwithDelay_6_251,MX,0.9838
SocialBehavioralAutism_5_236,SB,MixedASDwithDelay_6_275,MX,0.9911
SocialBehavioralAutism_5_237,SB,MixedASDwithDelay_6_225,MX,0.9906
SocialBehavioralAutism_5_241,SB,MixedASDwithDelay_5_179,MX,0.9861
SocialBehavioralAutism_5_248,SB,MixedASDwithDelay_6_240,MX,0.5842
SocialBehavioralAutism_5_249,SB,MixedASDwithDelay_2_16,MX,0.9944
SocialBehavioralAutism_5_249,SB,MixedASDwithDelay_4_78,MX,0.9004
SocialBehavioralAutism_5_249,SB,MixedASDwithDelay_5_164,MX,0.9752
SocialBehavioralAutism_5_250,SB,MixedASDwithDelay_5_169,MX,0.7484
SocialBehavioralAutism_5_250,SB,MixedASDwithDelay_6_234,MX,0.7337
SocialBehavioralAutism_5_252,SB,MixedASDwithDelay_5_171,MX,0.9753
SocialBehavioralAutism_1_1,SB,ModerateAutism_1_1,MO,0.9964
SocialBehavioralAutism_1_2,SB,ModerateAutism_1_2,MO,0.9972
SocialBehavioralAutism_1_2,SB,ModerateAutism_5_200,MO,0.9609
SocialBehavioralAutism_1_3,SB,ModerateAutism_1_4,MO,0.9164
SocialBehavioralAutism_1_3,SB,ModerateAutism_2_11,MO,0.5826
SocialBehavioralAutism_1_3,SB,ModerateAutism_3_31,MO,0.9822
SocialBehavioralAutism_1_3,SB,ModerateAutism_4_61,MO,0.9477
SocialBehavioralAutism_1_3,SB,ModerateAutism_4_83,MO,0.9744
SocialBehavioralAutism_1_3,SB,ModerateAutism_5_191,MO,0.9367
SocialBehavioralAutism_1_3,SB,ModerateAutism_5_207,MO,0.9926
SocialBehavioralAutism_1_4,SB,ModerateAutism_3_29,MO,0.9638
SocialBehavioralAutism_1_4,SB,ModerateAutism_3_38,MO,0.9876
SocialBehavioralAutism_1_4,SB,ModerateAutism_3_39,MO,0.9917
SocialBehavioralAutism_1_4,SB,ModerateAutism_4_79,MO,0.9877
SocialBehavioralAutism_1_4,SB,ModerateAutism_4_92,MO,0.6008
SocialBehavioralAutism_1_4,SB,ModerateAutism_5_120,MO,0.9863
SocialBehavioralAutism_1_4,SB,ModerateAutism_5_127,MO,0.9968
SocialBehavioralAutism_1_4,SB,ModerateAutism_5_133,MO,0.9962
SocialBehavioralAutism_1_4,SB,ModerateAutism_5_190,MO,0.5686
SocialBehavioralAutism_1_5,SB,ModerateAutism_3_26,MO,0.9977
SocialBehavioralAutism_1_5,SB,ModerateAutism_4_74,MO,0.9919
SocialBehavioralAutism_2_8,SB,ModerateAutism_2_7,MO,0.9957
SocialBehavioralAutism_2_8,SB,ModerateAutism_5_140,MO,0.9919
SocialBehavioralAutism_2_9,SB,ModerateAutism_3_27,MO,0.6319
SocialBehavioralAutism_2_9,SB,ModerateAutism_3_39,MO,0.992
SocialBehavioralAutism_2_9,SB,ModerateAutism_4_61,MO,0.8068
SocialBehavioralAutism_2_9,SB,ModerateAutism_4_79,MO,0.9162
SocialBehavioralAutism_2_9,SB,ModerateAutism_5_120,MO,0.9789
SocialBehavioralAutism_2_9,SB,ModerateAutism_5_133,MO,0.9062
SocialBehavioralAutism_2_10,SB,ModerateAutism_4_72,MO,0.9892
SocialBehavioralAutism_2_13,SB,ModerateAutism_3_39,MO,0.9843
SocialBehavioralAutism_2_13,SB,ModerateAutism_4_61,MO,0.9075
SocialBehavioralAutism_2_13,SB,ModerateAutism_5_120,MO,0.9685
SocialBehavioralAutism_2_13,SB,ModerateAutism_5_131,MO,0.618
SocialBehavioralAutism_2_17,SB,ModerateAutism_2_11,MO,0.9982
SocialBehavioralAutism_2_17,SB,ModerateAutism_3_46,MO,0.9895
SocialBehavioralAutism_2_17,SB,ModerateAutism_5_191,MO,0.9899
SocialBehavioralAutism_2_20,SB,ModerateAutism_3_38,MO,0.5823
SocialBehavioralAutism_2_20,SB,ModerateAutism_5_120,MO,0.9864
SocialBehavioralAutism_2_20,SB,ModerateAutism_5_133,MO,0.9837
SocialBehavioralAutism_2_22,SB,ModerateAutism_5_179,MO,0.9959
SocialBehavioralAutism_2_23,SB,ModerateAutism_5_199,MO,0.9958
SocialBehavioralAutism_2_23,SB,ModerateAutism_6_249,MO,0.9939
SocialBehavioralAutism_3_25,SB,ModerateAutism_2_7,MO,0.9779
SocialBehavioralAutism_3_25,SB,ModerateAutism_4_95,MO,0.9964
SocialBehavioralAutism_3_25,SB,ModerateAutism_5_140,MO,0.8348
SocialBehavioralAutism_3_25,SB,ModerateAutism_5_195,MO,0.9928
SocialBehavioralAutism_3_26,SB,ModerateAutism_4_56,MO,0.9933
SocialBehavioralAutism_3_26,SB,ModerateAutism_5_117,MO,0.9937
SocialBehavioralAutism_3_36,SB,ModerateAutism_2_8,MO,0.9959
SocialBehavioralAutism_3_36,SB,ModerateAutism_5_120,MO,0.9759
SocialBehavioralAutism_3_36,SB,ModerateAutism_5_133,MO,0.7684
SocialBehavioralAutism_3_39,SB,ModerateAutism_6_227,MO,0.9957
