nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
SocialBehavioralAutism_5_219,SB,MixedASDwithDelay_5_219,MX,0.8955
SocialBehavioralAutism_5_220,SB,MixedASDwithDelay_3_35,MX,0.9619
SocialBehavioralAutism_5_220,SB,MixedASDwithDelay_4_108,MX,0.9754
SocialBehavioralAutism_5_221,SB,MixedASDwithDelay_3_41,MX,0.9172
SocialBehavioralAutism_5_221,SB,MixedASDwithDelay_4_88,MX,0.9948
SocialBehavioralAutism_5_224,SB,MixedASDwithDelay_2_20,MX,0.5844
SocialBehavioralAutism_5_224,SB,MixedASDwithDelay_4_136,MX,0.9848
SocialBehavioralAutism_5_224,SB,MixedASDwithDelay_5_232,MX,0.9816
SocialBehavioralAutism_5_225,SB,MixedASDwithDelay_3_48,MX,0.5955
SocialBehavioralAutism_5_225,SB,MixedASDwithDelay_4_87,MX,0.9474
SocialBehavioralAutism_5_226,SB,MixedASDwithDelay_4_104,MX,0.9856
SocialBehavioralAutism_5_226,SB,MixedASDwithDelay_5_242,MX,0.986
SocialBehavioralAutism_5_228,SB,MixedASDwithDelay_4_83,MX,0.8942
SocialBehavioralAutism_5_232,SB,MixedASDwithDelay_5_196,MX,0.9828
SocialBehavioralAutism_5_233,SB,MixedASDwithDelay_4_132,MX,0.8529
SocialBehavioralAutism_1_2,SB,ModerateAutism_1_1,MO,0.8267
SocialBehavioralAutism_1_2,SB,ModerateAutism_2_8,MO,0.6814
SocialBehavioralAutism_1_2,SB,ModerateAutism_3_29,MO,0.9897
SocialBehavioralAutism_1_2,SB,ModerateAutism_4_122,MO,0.9921
SocialBehavioralAutism_1_2,SB,ModerateAutism_4_127,MO,0.943
SocialBehavioralAutism_1_2,SB,ModerateAutism_4_130,MO,0.6713
SocialBehavioralAutism_1_4,SB,ModerateAutism_2_11,MO,0.9955
SocialBehavioralAutism_1_4,SB,ModerateAutism_2_20,MO,0.9957
SocialBehavioralAutism_1_4,SB,ModerateAutism_4_75,MO,0.8418
