nodo_a_id,actor_a,nodo_b_id,actor_b,similitud_sbert
SocialBehavioralAutism_4_78,SB,MixedASDwithDelay_10_329,MX,0.9777
SocialBehavioralAutism_4_79,SB,MixedASDwithDelay_3_32,MX,0.7243
SocialBehavioralAutism_4_80,SB,MixedASDwithDelay_4_65,MX,0.9913
SocialBehavioralAutism_4_80,SB,MixedASDwithDelay_8_178,MX,0.9956
SocialBehavioralAutism_4_81,SB,MixedASDwithDelay_6_98,MX,0.748
SocialBehavioralAutism_4_85,SB,MixedASDwithDelay_2_6,MX,0.9822
SocialBehavioralAutism_4_85,SB,MixedASDwithDelay_3_25,MX,0.9705
SocialBehavioralAutism_4_85,SB,MixedASDwithDelay_4_41,MX,0.9662
SocialBehavioralAutism_4_89,SB,MixedASDwithDelay_4_58,MX,0.9977
SocialBehavioralAutism_4_91,SB,MixedASDwithDelay_4_51,MX,0.9944
SocialBehavioralAutism_4_100,SB,MixedASDwithDelay_3_28,MX,0.9781
SocialBehavioralAutism_4_100,SB,MixedASDwithDelay_7_161,MX,0.9317
SocialBehavioralAutism_4_102,SB,MixedASDwithDelay_2_14,MX,0.9887
SocialBehavioralAutism_4_102,SB,MixedASDwithDelay_3_25,MX,0.9951
SocialBehavioralAutism_4_102,SB,MixedASDwithDelay_5_80,MX,0.9937
SocialBehavioralAutism_4_102,SB,MixedASDwithDelay_8_219,MX,0.693
SocialBehavioralAutism_4_104,SB,MixedASDwithDelay_7_154,MX,0.6255
SocialBehavioralAutism_4_105,SB,MixedASDwithDelay_6_98,MX,0.9859
SocialBehavioralAutism_4_105,SB,MixedASDwithDelay_8_219,MX,0.7431
SocialBehavioralAutism_4_106,SB,MixedASDwithDelay_8_178,MX,0.9937
SocialBehavioralAutism_4_107,SB,MixedASDwithDelay_9_286,MX,0.9812
SocialBehavioralAutism_4_109,SB,MixedASDwithDelay_9_300,MX,0.9937
SocialBehavioralAutism_4_109,SB,MixedASDwithDelay_10_340,MX,0.9689
SocialBehavioralAutism_4_111,SB,MixedASDwithDelay_2_6,MX,0.9816
SocialBehavioralAutism_4_111,SB,MixedASDwithDelay_5_73,MX,0.9561
